"recovery","recovery_sd","recovery_q05","recovery_q95","size","size_sd","method","n","e","pi"
0.644,0.20016155,0.4,1,3.42,1.0747798,1,300,-0.26,0.5
0.468,0.19326017,0.2,0.8,2.47,1.0195563,2,300,-0.26,0.5
0.996,0.02814106,1,1,4.99,0.1737873,3,300,-0.26,0.5
0.784,0.2023698,0.4,1,4.1,1.0683699,1,300,-0.24,0.5
0.654,0.19664869,0.4,1,3.37,1.0507813,2,300,-0.24,0.5
1,0,1,1,5.01,0.1,3,300,-0.24,0.5
0.888,0.15127739,0.6,1,4.62,0.8260897,1,300,-0.22,0.5
0.796,0.18197569,0.4,1,4.05,0.936089,2,300,-0.22,0.5
1,0,1,1,5.01,0.1,3,300,-0.22,0.5
0.954,0.10192094,0.8,1,4.92,0.6768913,1,300,-0.2,0.5
0.912,0.13125655,0.6,1,4.62,0.6931119,2,300,-0.2,0.5
1,0,1,1,5.01,0.1,3,300,-0.2,0.5
0.054,0.10192094,0,0.2,0.68,0.7638287,1,400,-0.4,0.5
0.016,0.06149649,0,0.2,0.42,0.5891271,2,400,-0.4,0.5
0.672,0.19595918,0.4,1,3.46,0.9579017,3,400,-0.4,0.5
0.096,0.14901698,0,0.4,0.88,0.890806,1,400,-0.38,0.5
0.038,0.09296464,0,0.2,0.52,0.6587408,2,400,-0.38,0.5
0.782,0.16598649,0.4,1,4,0.8164966,3,400,-0.38,0.5
0.15,0.17378728,0,0.4,1.13,0.9603766,1,400,-0.36,0.5
0.068,0.12133933,0,0.4,0.66,0.7415517,2,400,-0.36,0.5
0.858,0.14011539,0.6,1,4.37,0.7474536,3,400,-0.36,0.5
0.232,0.19430269,0,0.6,1.51,1.0870682,1,400,-0.34,0.5
0.136,0.17263262,0,0.4,1,0.9949367,2,400,-0.34,0.5
0.93,0.1,0.8,1,4.71,0.5373899,3,400,-0.34,0.5
0.35,0.1828506,0,0.6,2.08,1.0700703,1,400,-0.32,0.5
0.218,0.18876526,0,0.6,1.39,1.0530859,2,400,-0.32,0.5
0.968,0.07898344,0.8,1,4.88,0.4557157,3,400,-0.32,0.5
0.502,0.17637197,0.2,0.8,2.8,1.063632,1,400,-0.3,0.5
0.348,0.17665809,0,0.6,2.01,1.0683226,2,400,-0.3,0.5
